,competênciamov,município,seção,saldomovimentação,sexo,graudeinstrução
102,2023-01-01,Pb-Areia,"Comércio, Reparação de Veículos Automotores e Motocicletas",-1,Mulher,3
103,2023-01-01,Pb-Areia,"Comércio, Reparação de Veículos Automotores e Motocicletas",1,Homem,3
104,2023-01-01,Pb-Areia,Construção,-1,Homem,11
105,2023-01-01,Pb-Areia,Construção,-1,Mulher,1
106,2023-01-01,Pb-Areia,Construção,1,Homem,3
107,2023-01-01,Pb-Areia,Educação,-1,Mulher,1
108,2023-01-01,Pb-Areia,Indústrias Extrativas,-1,Mulher,1
109,2023-01-01,Pb-Areia,Indústrias de Transformação,-1,Homem,5
110,2023-01-01,Pb-Areia,Indústrias de Transformação,-1,Mulher,2
111,2023-01-01,Pb-Areia,Indústrias de Transformação,1,Homem,1
112,2023-01-01,Pb-Areia,Outras Atividades de Serviços,-1,Mulher,1
113,2023-01-01,Pb-Areia,Saúde Humana e Serviços Sociais,1,Mulher,1
114,2023-01-01,Pb-Areial,"Comércio, Reparação de Veículos Automotores e Motocicletas",-1,Homem,2
115,2023-01-01,Pb-Areial,"Comércio, Reparação de Veículos Automotores e Motocicletas",-1,Mulher,1
116,2023-01-01,Pb-Areial,"Comércio, Reparação de Veículos Automotores e Motocicletas",1,Homem,2
117,2023-01-01,Pb-Areial,"Comércio, Reparação de Veículos Automotores e Motocicletas",1,Mulher,1
118,2023-01-01,Pb-Areial,Informação e Comunicação,1,Mulher,1
119,2023-01-01,Pb-Aroeiras,"Agricultura, Pecuária, Produção Florestal, Pesca e AqÜIcultura",-1,Homem,1
120,2023-01-01,Pb-Aroeiras,"Comércio, Reparação de Veículos Automotores e Motocicletas",-1,Homem,2
121,2023-01-01,Pb-Aroeiras,"Comércio, Reparação de Veículos Automotores e Motocicletas",1,Homem,4
122,2023-01-01,Pb-Aroeiras,Construção,1,Homem,1
123,2023-01-01,Pb-Aroeiras,Indústrias de Transformação,-1,Homem,1
124,2023-01-01,Pb-Assuncao,"Comércio, Reparação de Veículos Automotores e Motocicletas",-1,Mulher,1
125,2023-01-01,Pb-Assuncao,"Comércio, Reparação de Veículos Automotores e Motocicletas",1,Homem,4
126,2023-01-01,Pb-Assuncao,"Comércio, Reparação de Veículos Automotores e Motocicletas",1,Mulher,1
127,2023-01-01,Pb-Assuncao,Indústrias Extrativas,-1,Homem,1
128,2023-01-01,Pb-Baia da Traicao,"Administração Pública, Defesa e Seguridade Social",1,Homem,1
129,2023-01-01,Pb-Baia da Traicao,Alojamento e Alimentação,1,Mulher,1
130,2023-01-01,Pb-Baia da Traicao,"Comércio, Reparação de Veículos Automotores e Motocicletas",-1,Homem,2
131,2023-01-01,Pb-Baia da Traicao,"Comércio, Reparação de Veículos Automotores e Motocicletas",-1,Mulher,1
132,2023-01-01,Pb-Baia da Traicao,"Comércio, Reparação de Veículos Automotores e Motocicletas",1,Homem,3
133,2023-01-01,Pb-Baia da Traicao,Construção,-1,Homem,7
134,2023-01-01,Pb-Baia da Traicao,Educação,1,Homem,1
135,2023-01-01,Pb-Baia da Traicao,Saúde Humana e Serviços Sociais,-1,Homem,2
136,2023-01-01,Pb-Baia da Traicao,Saúde Humana e Serviços Sociais,-1,Mulher,1
137,2023-01-01,Pb-Bananeiras,"Agricultura, Pecuária, Produção Florestal, Pesca e AqÜIcultura",-1,Homem,2
138,2023-01-01,Pb-Bananeiras,"Agricultura, Pecuária, Produção Florestal, Pesca e AqÜIcultura",1,Homem,1
139,2023-01-01,Pb-Bananeiras,Alojamento e Alimentação,-1,Mulher,4
140,2023-01-01,Pb-Bananeiras,Alojamento e Alimentação,1,Homem,2
141,2023-01-01,Pb-Bananeiras,"Artes, Cultura, Esporte e Recreação",1,Homem,1
142,2023-01-01,Pb-Bananeiras,Atividades Administrativas e Serviços Complementares,-1,Homem,1
143,2023-01-01,Pb-Bananeiras,Atividades Administrativas e Serviços Complementares,1,Homem,4
144,2023-01-01,Pb-Bananeiras,Atividades Administrativas e Serviços Complementares,1,Mulher,1
145,2023-01-01,Pb-Bananeiras,"Atividades Profissionais, Científicas e Técnicas",1,Mulher,1
146,2023-01-01,Pb-Bananeiras,"Comércio, Reparação de Veículos Automotores e Motocicletas",-1,Homem,4
147,2023-01-01,Pb-Bananeiras,"Comércio, Reparação de Veículos Automotores e Motocicletas",1,Homem,1
148,2023-01-01,Pb-Bananeiras,"Comércio, Reparação de Veículos Automotores e Motocicletas",1,Mulher,3
149,2023-01-01,Pb-Bananeiras,Construção,-1,Homem,14
150,2023-01-01,Pb-Bananeiras,Construção,-1,Mulher,1
151,2023-01-01,Pb-Bananeiras,Construção,1,Homem,8
152,2023-01-01,Pb-Bananeiras,Educação,-1,Mulher,3
153,2023-01-01,Pb-Bananeiras,Saúde Humana e Serviços Sociais,-1,Mulher,1
154,2023-01-01,Pb-Barauna,"Comércio, Reparação de Veículos Automotores e Motocicletas",1,Homem,1
155,2023-01-01,Pb-Barauna,Saúde Humana e Serviços Sociais,-1,Mulher,1
156,2023-01-01,Pb-Barra de Santa Rosa,"Comércio, Reparação de Veículos Automotores e Motocicletas",-1,Homem,1
157,2023-01-01,Pb-Barra de Santa Rosa,"Comércio, Reparação de Veículos Automotores e Motocicletas",-1,Mulher,2
158,2023-01-01,Pb-Barra de Santa Rosa,"Comércio, Reparação de Veículos Automotores e Motocicletas",1,Homem,1
159,2023-01-01,Pb-Barra de Santa Rosa,Construção,-1,Homem,7
160,2023-01-01,Pb-Barra de Santa Rosa,Construção,-1,Mulher,1
161,2023-01-01,Pb-Barra de Santa Rosa,Construção,1,Homem,2
162,2023-01-01,Pb-Barra de Santa Rosa,Indústrias Extrativas,-1,Homem,2
163,2023-01-01,Pb-Barra de Santa Rosa,Informação e Comunicação,-1,Homem,1
164,2023-01-01,Pb-Barra de Santa Rosa,"Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação",1,Homem,1
165,2023-01-01,Pb-Barra de Santana,Alojamento e Alimentação,-1,Mulher,1
166,2023-01-01,Pb-Barra de Santana,Alojamento e Alimentação,1,Homem,1
167,2023-01-01,Pb-Barra de Santana,"Comércio, Reparação de Veículos Automotores e Motocicletas",1,Homem,3
168,2023-01-01,Pb-Bayeux,Alojamento e Alimentação,-1,Homem,4
169,2023-01-01,Pb-Bayeux,Alojamento e Alimentação,-1,Mulher,5
170,2023-01-01,Pb-Bayeux,Alojamento e Alimentação,1,Mulher,1
171,2023-01-01,Pb-Bayeux,Atividades Administrativas e Serviços Complementares,-1,Homem,13
172,2023-01-01,Pb-Bayeux,Atividades Administrativas e Serviços Complementares,-1,Mulher,6
173,2023-01-01,Pb-Bayeux,Atividades Administrativas e Serviços Complementares,1,Homem,9
174,2023-01-01,Pb-Bayeux,Atividades Administrativas e Serviços Complementares,1,Mulher,3
175,2023-01-01,Pb-Bayeux,Atividades Imobiliárias,-1,Homem,1
176,2023-01-01,Pb-Bayeux,Atividades Imobiliárias,1,Homem,1
177,2023-01-01,Pb-Bayeux,"Atividades Profissionais, Científicas e Técnicas",-1,Homem,3
178,2023-01-01,Pb-Bayeux,"Atividades Profissionais, Científicas e Técnicas",-1,Mulher,1
179,2023-01-01,Pb-Bayeux,"Atividades Profissionais, Científicas e Técnicas",1,Homem,1
180,2023-01-01,Pb-Bayeux,"Comércio, Reparação de Veículos Automotores e Motocicletas",-1,Homem,99
181,2023-01-01,Pb-Bayeux,"Comércio, Reparação de Veículos Automotores e Motocicletas",-1,Mulher,39
182,2023-01-01,Pb-Bayeux,"Comércio, Reparação de Veículos Automotores e Motocicletas",1,Homem,72
183,2023-01-01,Pb-Bayeux,"Comércio, Reparação de Veículos Automotores e Motocicletas",1,Mulher,34
184,2023-01-01,Pb-Bayeux,Construção,-1,Homem,12
185,2023-01-01,Pb-Bayeux,Construção,1,Homem,26
186,2023-01-01,Pb-Bayeux,Construção,1,Mulher,1
187,2023-01-01,Pb-Bayeux,Educação,-1,Homem,6
188,2023-01-01,Pb-Bayeux,Educação,-1,Mulher,10
189,2023-01-01,Pb-Bayeux,Educação,1,Homem,2
190,2023-01-01,Pb-Bayeux,Educação,1,Mulher,4
191,2023-01-01,Pb-Bayeux,Indústrias de Transformação,-1,Homem,46
192,2023-01-01,Pb-Bayeux,Indústrias de Transformação,-1,Mulher,8
193,2023-01-01,Pb-Bayeux,Indústrias de Transformação,1,Homem,36
194,2023-01-01,Pb-Bayeux,Indústrias de Transformação,1,Mulher,5
195,2023-01-01,Pb-Bayeux,Informação e Comunicação,1,Mulher,1
196,2023-01-01,Pb-Bayeux,Outras Atividades de Serviços,-1,Homem,5
197,2023-01-01,Pb-Bayeux,Outras Atividades de Serviços,-1,Mulher,4
198,2023-01-01,Pb-Bayeux,Outras Atividades de Serviços,1,Homem,16
199,2023-01-01,Pb-Bayeux,Outras Atividades de Serviços,1,Mulher,20
200,2023-01-01,Pb-Bayeux,Saúde Humana e Serviços Sociais,-1,Homem,1
